"","Date","gold_value"
"1",2020-01-31,1580.85
"2",2019-12-31,1523
"3",2019-11-30,1456.35
"4",2019-10-31,1506.4
"5",2019-09-30,1487.6
"6",2019-08-31,1526.55
"7",2019-07-31,1430.55
"8",2019-06-30,1413.2
"9",2019-05-31,1296
"10",2019-04-30,1285.15
"11",2019-03-31,1291.15
"12",2019-02-28,1325.45
"13",2019-01-31,1322.5
"14",2018-12-31,1281.65
"15",2018-11-30,1220.45
"16",2018-10-31,1217.7
"17",2018-09-30,1183.5
"18",2018-08-31,1206.85
"19",2018-07-31,1219.2
"20",2018-06-30,1250.55
"21",2018-05-31,1303.5
"22",2018-04-30,1316.25
"23",2018-03-31,1323.9
"24",2018-02-28,1320.3
"25",2018-01-31,1343.35
