"","Date","btc_value"
"1",2020-01-31,9502.37
"2",2019-12-31,7219.6
"3",2019-11-30,7757.47
"4",2019-10-31,9164.62
"5",2019-09-30,8056.74
"6",2019-08-31,9577.99
"7",2019-07-31,9589.13
"8",2019-06-30,11890.38
"9",2019-05-31,8272.46
"10",2019-04-30,5260.65
"11",2019-03-31,4114.44
"12",2019-02-28,3833.23
"13",2019-01-31,3470
"14",2018-12-31,3791.54583333
"15",2018-11-30,4278.77
"16",2018-10-31,6301.61
"17",2018-09-30,6593.135
"18",2018-08-31,6981.94615385
"19",2018-07-31,7916.80083333
"20",2018-06-30,6223.28
"21",2018-05-31,7386.72
"22",2018-04-30,9259.57
"23",2018-03-31,6935.48
"24",2018-02-28,10370.165
"25",2018-01-31,10082.52
