"","Date","sp500_value"
"1",2020-01-31,3225.04
"2",2019-12-31,3230.58
"3",2019-11-30,3104.9
"4",2019-10-31,2977.68
"5",2019-09-30,2982.16
"6",2019-08-31,2897.5
"7",2019-07-31,2996.11
"8",2019-06-30,2890.17
"9",2019-05-31,2752.08
"10",2019-04-30,2903.8
"11",2019-03-31,2803.98
"12",2019-02-28,2754.86
"13",2019-01-31,2607.39
"14",2018-12-31,2567.31
"15",2018-11-30,2723.23
"16",2018-10-31,2785.46
"17",2018-09-30,2901.5
"18",2018-08-31,2857.82
"19",2018-07-31,2793.64
"20",2018-06-30,2754.35
"21",2018-05-31,2701.49
"22",2018-04-30,2653.63
"23",2018-03-31,2702.77
"24",2018-02-28,2705.16
